participant_id,FCWrong,type,condition,RespondedPercent,truePercent,abs_error,condition_order,label,trial_order
P1,,areas,Visual,90,75,15,2,areas_5,31
P2,,areas,Visual,25,25,0,2,areas_0,5
P2,,areas,Visual,30,35,5,2,areas_1,9
P2,,areas,Visual,40,45,5,2,areas_2,14
P2,,areas,Visual,55,55,0,2,areas_3,20
P2,,areas,Visual,70,65,5,2,areas_4,30
P2,,areas,Visual,70,75,5,2,areas_5,31
P3,,areas,Visual,25,25,0,3,areas_0,5
P3,,areas,Visual,30,35,5,3,areas_1,9
P3,,areas,Visual,60,45,15,3,areas_2,14
P3,,areas,Visual,60,55,5,3,areas_3,20
P3,,areas,Visual,80,65,15,3,areas_4,30
P3,,areas,Visual,90,75,15,3,areas_5,31
P4,,areas,Visual,20,25,5,1,areas_0,5
P4,,areas,Visual,25,35,10,1,areas_1,9
P4,,areas,Visual,30,45,15,1,areas_2,14
P4,,areas,Visual,35,55,20,1,areas_3,20
P4,,areas,Visual,75,65,10,1,areas_4,30
P4,,areas,Visual,80,75,5,1,areas_5,31
P5,,areas,Visual,25,25,0,1,areas_0,5
P5,,areas,Visual,33,35,2,1,areas_1,9
P5,,areas,Visual,50,45,5,1,areas_2,14
P5,,areas,Visual,50,55,5,1,areas_3,20
P5,,areas,Visual,80,65,15,1,areas_4,30
P5,,areas,Visual,80,75,5,1,areas_5,31
P6,,areas,Visual,44,25,19,3,areas_0,5
P6,,areas,Visual,60,35,25,3,areas_1,9
P6,,areas,Visual,75,45,30,3,areas_2,14
P6,,areas,Visual,80,55,25,3,areas_3,20
P6,,areas,Visual,90,65,25,3,areas_4,30
P6,,areas,Visual,92,75,17,3,areas_5,31
P7,,areas,Visual,60,25,35,1,areas_0,5
P7,,areas,Visual,50,35,15,1,areas_1,9
P7,,areas,Visual,50,45,5,1,areas_2,14
P7,,areas,Visual,60,55,5,1,areas_3,20
P7,,areas,Visual,60,65,5,1,areas_4,30
P7,,areas,Visual,80,75,5,1,areas_5,31
P8,,areas,Visual,20,25,5,3,areas_0,5
P8,,areas,Visual,30,35,5,3,areas_1,9
P8,,areas,Visual,75,45,30,3,areas_2,14
P8,,areas,Visual,80,55,25,3,areas_3,20
P8,,areas,Visual,85,65,20,3,areas_4,30
P8,,areas,Visual,90,75,15,3,areas_5,31
P9,,areas,Visual,33,25,8,2,areas_0,5
P9,,areas,Visual,40,35,5,2,areas_1,9
P9,,areas,Visual,45,45,0,2,areas_2,14
P9,,areas,Visual,50,55,5,2,areas_3,20
P9,,areas,Visual,80,65,15,2,areas_4,30
P9,,areas,Visual,90,75,15,2,areas_5,31
P10,,areas,Visual,35,25,10,1,areas_0,5
P10,,areas,Visual,40,35,5,1,areas_1,9
P10,,areas,Visual,70,45,25,1,areas_2,14
P10,,areas,Visual,75,55,20,1,areas_3,20
P10,,areas,Visual,75,65,10,1,areas_4,30
P10,,areas,Visual,75,75,0,1,areas_5,31
P11,,areas,Visual,10,25,15,3,areas_0,5
P11,,areas,Visual,33,35,2,3,areas_1,9
P11,,areas,Visual,50,45,5,3,areas_2,14
P11,,areas,Visual,40,55,15,3,areas_3,20
P11,,areas,Visual,90,65,25,3,areas_4,30
P11,,areas,Visual,90,75,15,3,areas_5,31
P12,,areas,Visual,10,25,15,2,areas_0,5
P12,,areas,Visual,25,35,10,2,areas_1,9
P12,,areas,Visual,40,45,5,2,areas_2,14
P12,,areas,Visual,50,55,5,2,areas_3,20
P12,,areas,Visual,60,65,5,2,areas_4,30
P12,,areas,Visual,80,75,5,2,areas_5,31
P1,,textures,Visual,60,75,15,2,textures_5,1
P1,,textures,Visual,20,25,5,2,textures_0,8
P1,,textures,Visual,25,35,10,2,textures_1,16
P1,,textures,Visual,50,45,5,2,textures_2,22
P1,,textures,Visual,60,55,5,2,textures_3,25
P1,,textures,Visual,25,65,40,2,textures_4,36
P2,,textures,Visual,50,75,25,2,textures_5,1
P2,,textures,Visual,5,25,20,2,textures_0,8
P2,,textures,Visual,15,35,20,2,textures_1,16
P2,,textures,Visual,25,45,20,2,textures_2,22
P2,,textures,Visual,25,55,30,2,textures_3,25
P2,,textures,Visual,33,65,32,2,textures_4,36
P3,,textures,Visual,65,75,10,3,textures_5,1
P3,,textures,Visual,25,25,0,3,textures_0,8
P3,,textures,Visual,30,35,5,3,textures_1,16
P3,,textures,Visual,40,45,5,3,textures_2,22
P3,,textures,Visual,35,55,20,3,textures_3,25
P3,,textures,Visual,60,65,5,3,textures_4,36
P4,,textures,Visual,40,75,35,1,textures_5,1
P4,,textures,Visual,15,25,10,1,textures_0,8
P4,,textures,Visual,20,35,15,1,textures_1,16
P4,,textures,Visual,25,45,20,1,textures_2,22
P4,,textures,Visual,35,55,20,1,textures_3,25
P4,,textures,Visual,80,65,15,1,textures_4,36
P5,,textures,Visual,50,75,25,1,textures_5,1
P5,,textures,Visual,25,25,0,1,textures_0,8
P5,,textures,Visual,25,35,10,1,textures_1,16
P5,,textures,Visual,50,45,5,1,textures_2,22
P5,,textures,Visual,25,55,30,1,textures_3,25
P5,,textures,Visual,50,65,15,1,textures_4,36
P6,,textures,Visual,60,75,15,3,textures_5,1
P6,,textures,Visual,25,25,0,3,textures_0,8
P6,,textures,Visual,24,35,11,3,textures_1,16
P6,,textures,Visual,30,45,15,3,textures_2,22
P6,,textures,Visual,33,55,22,3,textures_3,25
P6,,textures,Visual,67,65,2,3,textures_4,36
P7,,textures,Visual,25,75,50,1,textures_5,1
P7,,textures,Visual,20,25,5,1,textures_0,8
P7,,textures,Visual,25,35,10,1,textures_1,16
P7,,textures,Visual,25,45,20,1,textures_2,22
P7,,textures,Visual,25,55,30,1,textures_3,25
P7,,textures,Visual,50,65,15,1,textures_4,36
P8,,textures,Visual,85,75,10,3,textures_5,1
P8,,textures,Visual,10,25,15,3,textures_0,8
P8,,textures,Visual,40,35,5,3,textures_1,16
P8,,textures,Visual,60,45,15,3,textures_2,22
P8,,textures,Visual,70,55,15,3,textures_3,25
P8,,textures,Visual,80,65,15,3,textures_4,36
P9,,textures,Visual,80,75,5,2,textures_5,1
P9,,textures,Visual,33,25,8,2,textures_0,8
P9,,textures,Visual,38,35,3,2,textures_1,16
P9,,textures,Visual,50,45,5,2,textures_2,22
P9,,textures,Visual,55,55,0,2,textures_3,25
P9,,textures,Visual,77,65,12,2,textures_4,36
P10,,textures,Visual,55,75,20,1,textures_5,1
P10,,textures,Visual,20,25,5,1,textures_0,8
P10,,textures,Visual,60,35,25,1,textures_1,16
P10,,textures,Visual,50,45,5,1,textures_2,22
