"participant_id","FCWrong","type","condition","RespondedPercent","truePercent","abs_error","condition_order","trial_order","raw_error"
"P2",NA,"shadings","Visual",25,55,30,2,25,-30
"P2",NA,"shadings","Visual",33,65,32,2,36,-32
"P3",NA,"shadings","Visual",65,75,10,3,1,-10
"P3",NA,"shadings","Visual",25,25,0,3,8,0
"P3",NA,"shadings","Visual",30,35,5,3,16,-5
"P3",NA,"shadings","Visual",40,45,5,3,22,-5
"P3",NA,"shadings","Visual",35,55,20,3,25,-20
"P3",NA,"shadings","Visual",60,65,5,3,36,-5
"P4",NA,"shadings","Visual",40,75,35,1,1,-35
"P4",NA,"shadings","Visual",15,25,10,1,8,-10
"P4",NA,"shadings","Visual",20,35,15,1,16,-15
"P4",NA,"shadings","Visual",25,45,20,1,22,-20
"P4",NA,"shadings","Visual",35,55,20,1,25,-20
"P4",NA,"shadings","Visual",80,65,15,1,36,15
"P5",NA,"shadings","Visual",50,75,25,1,1,-25
"P5",NA,"shadings","Visual",25,25,0,1,8,0
"P5",NA,"shadings","Visual",25,35,10,1,16,-10
"P5",NA,"shadings","Visual",50,45,5,1,22,5
"P5",NA,"shadings","Visual",25,55,30,1,25,-30
"P5",NA,"shadings","Visual",50,65,15,1,36,-15
"P6",NA,"shadings","Visual",60,75,15,3,1,-15
"P6",NA,"shadings","Visual",25,25,0,3,8,0
"P6",NA,"shadings","Visual",24,35,11,3,16,-11
"P6",NA,"shadings","Visual",30,45,15,3,22,-15
"P6",NA,"shadings","Visual",33,55,22,3,25,-22
"P6",NA,"shadings","Visual",67,65,2,3,36,2
"P7",NA,"shadings","Visual",25,75,50,1,1,-50
"P7",NA,"shadings","Visual",20,25,5,1,8,-5
"P7",NA,"shadings","Visual",25,35,10,1,16,-10
"P7",NA,"shadings","Visual",25,45,20,1,22,-20
"P7",NA,"shadings","Visual",25,55,30,1,25,-30
"P7",NA,"shadings","Visual",50,65,15,1,36,-15
"P8",NA,"shadings","Visual",85,75,10,3,1,10
"P8",NA,"shadings","Visual",10,25,15,3,8,-15
"P8",NA,"shadings","Visual",40,35,5,3,16,5
"P8",NA,"shadings","Visual",60,45,15,3,22,15
"P8",NA,"shadings","Visual",70,55,15,3,25,15
"P8",NA,"shadings","Visual",80,65,15,3,36,15
"P9",NA,"shadings","Visual",80,75,5,2,1,5
"P9",NA,"shadings","Visual",33,25,8,2,8,8
"P9",NA,"shadings","Visual",38,35,3,2,16,3
"P9",NA,"shadings","Visual",50,45,5,2,22,5
"P9",NA,"shadings","Visual",55,55,0,2,25,0
"P9",NA,"shadings","Visual",77,65,12,2,36,12
"P10",NA,"shadings","Visual",55,75,20,1,1,-20
"P10",NA,"shadings","Visual",20,25,5,1,8,-5
"P10",NA,"shadings","Visual",60,35,25,1,16,25
"P10",NA,"shadings","Visual",50,45,5,1,22,5
"P10",NA,"shadings","Visual",60,55,5,1,25,5
"P10",NA,"shadings","Visual",40,65,25,1,36,-25
"P11",NA,"shadings","Visual",50,75,25,3,1,-25
"P11",NA,"shadings","Visual",25,25,0,3,8,0
"P11",NA,"shadings","Visual",10,35,25,3,16,-25
"P11",NA,"shadings","Visual",20,45,25,3,22,-25
"P11",NA,"shadings","Visual",40,55,15,3,25,-15
"P11",NA,"shadings","Visual",50,65,15,3,36,-15
"P12",NA,"shadings","Visual",50,75,25,2,1,-25
"P12",NA,"shadings","Visual",10,25,15,2,8,-15
"P12",NA,"shadings","Visual",30,35,5,2,16,-5
"P12",NA,"shadings","Visual",60,45,15,2,22,15
"P12",NA,"shadings","Visual",30,55,25,2,25,-25
"P12",NA,"shadings","Visual",50,65,15,2,36,-15
"P1",NA,"position_aligned","Visual",60,55,5,2,4,5
"P1",NA,"position_aligned","Visual",60,65,5,2,10,-5
"P1",NA,"position_aligned","Visual",80,75,5,2,18,5
"P1",NA,"position_aligned","Visual",25,25,0,2,24,0
"P1",NA,"position_aligned","Visual",33,35,2,2,27,-2
"P1",NA,"position_aligned","Visual",40,45,5,2,35,-5
"P2",NA,"position_aligned","Visual",50,55,5,2,4,-5
"P2",NA,"position_aligned","Visual",65,65,0,2,10,0
"P2",NA,"position_aligned","Visual",75,75,0,2,18,0
"P2",NA,"position_aligned","Visual",20,25,5,2,24,-5
"P2",NA,"position_aligned","Visual",25,35,10,2,27,-10
"P2",NA,"position_aligned","Visual",45,45,0,2,35,0
"P3",NA,"position_aligned","Visual",70,55,15,3,4,15
"P3",NA,"position_aligned","Visual",70,65,5,3,10,5
"P3",NA,"position_aligned","Visual",75,75,0,3,18,0
"P3",NA,"position_aligned","Visual",25,25,0,3,24,0
"P3",NA,"position_aligned","Visual",30,35,5,3,27,-5
"P3",NA,"position_aligned","Visual",50,45,5,3,35,5
"P4",NA,"position_aligned","Visual",50,55,5,1,4,-5
"P4",NA,"position_aligned","Visual",60,65,5,1,10,-5
"P4",NA,"position_aligned","Visual",70,75,5,1,18,-5
"P4",NA,"position_aligned","Visual",20,25,5,1,24,-5
"P4",NA,"position_aligned","Visual",30,35,5,1,27,-5
"P4",NA,"position_aligned","Visual",50,45,5,1,35,5
"P5",NA,"position_aligned","Visual",50,55,5,1,4,-5
"P5",NA,"position_aligned","Visual",50,65,15,1,10,-15
"P5",NA,"position_aligned","Visual",75,75,0,1,18,0
"P5",NA,"position_aligned","Visual",25,25,0,1,24,0
"P5",NA,"position_aligned","Visual",25,35,10,1,27,-10
"P5",NA,"position_aligned","Visual",50,45,5,1,35,5
"P6",NA,"position_aligned","Visual",60,55,5,3,4,5
"P6",NA,"position_aligned","Visual",55,65,10,3,10,-10
"P6",NA,"position_aligned","Visual",90,75,15,3,18,15
"P6",NA,"position_aligned","Visual",20,25,5,3,24,-5
"P6",NA,"position_aligned","Visual",35,35,0,3,27,0
"P6",NA,"position_aligned","Visual",50,45,5,3,35,5
"P7",NA,"position_aligned","Visual",50,55,5,1,4,-5
"P7",NA,"position_aligned","Visual",60,65,5,1,10,-5
"P7",NA,"position_aligned","Visual",60,75,15,1,18,-15
"P7",NA,"position_aligned","Visual",20,25,5,1,24,-5
"P7",NA,"position_aligned","Visual",20,35,15,1,27,-15
"P7",NA,"position_aligned","Visual",30,45,15,1,35,-15
"P8",NA,"position_aligned","Visual",70,55,15,3,4,15
"P8",NA,"position_aligned","Visual",80,65,15,3,10,15
"P8",NA,"position_aligned","Visual",90,75,15,3,18,15
"P8",NA,"position_aligned","Visual",30,25,5,3,24,5
"P8",NA,"position_aligned","Visual",30,35,5,3,27,-5
"P8",NA,"position_aligned","Visual",40,45,5,3,35,-5
"P9",NA,"position_aligned","Visual",50,55,5,2,4,-5
"P9",NA,"position_aligned","Visual",75,65,10,2,10,10
"P9",NA,"position_aligned","Visual",80,75,5,2,18,5
"P9",NA,"position_aligned","Visual",23,25,2,2,24,-2
"P9",NA,"position_aligned","Visual",30,35,5,2,27,-5
"P9",NA,"position_aligned","Visual",40,45,5,2,35,-5
"P10",NA,"position_aligned","Visual",65,55,10,1,4,10
"P10",NA,"position_aligned","Visual",70,65,5,1,10,5
"P10",NA,"position_aligned","Visual",75,75,0,1,18,0
"P10",NA,"position_aligned","Visual",20,25,5,1,24,-5
"P10",NA,"position_aligned","Visual",25,35,10,1,27,-10
"P10",NA,"position_aligned","Visual",45,45,0,1,35,0
"P11",NA,"position_aligned","Visual",50,55,5,3,4,-5
"P11",NA,"position_aligned","Visual",60,65,5,3,10,-5
